,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,fecha,sensor,valor
0,0.0,0.0,0.0,01.01.2009 03:00:00,temperatura,-8.81
1,1.0,1.0,1.0,01.01.2009 03:00:00,densidad,1312.18
2,2.0,2.0,2.0,01.01.2009 03:10:00,temperatura,-8.84
3,3.0,3.0,3.0,01.01.2009 03:10:00,densidad,1312.37
4,4.0,4.0,4.0,01.01.2009 03:20:00,temperatura,-8.94
5,5.0,5.0,5.0,01.01.2009 03:20:00,densidad,1313.01
6,6.0,6.0,6.0,01.01.2009 03:30:00,temperatura,-8.94
7,7.0,7.0,7.0,01.01.2009 03:30:00,densidad,1313.15
8,8.0,8.0,8.0,01.01.2009 03:40:00,temperatura,-8.86
9,9.0,9.0,9.0,01.01.2009 03:40:00,densidad,1312.78
10,10.0,10.0,10.0,01.01.2009 03:50:00,temperatura,-8.99
11,11.0,11.0,11.0,01.01.2009 03:50:00,densidad,1313.39
12,12.0,12.0,12.0,01.01.2009 04:00:00,temperatura,-9.05
13,13.0,13.0,13.0,01.01.2009 04:00:00,densidad,1313.61
14,14.0,14.0,14.0,01.01.2009 04:10:00,temperatura,-9.23
15,15.0,15.0,15.0,01.01.2009 04:10:00,densidad,1314.62
16,16.0,16.0,16.0,01.01.2009 04:20:00,temperatura,-9.49
17,17.0,17.0,17.0,01.01.2009 04:20:00,densidad,1316.02
18,18.0,18.0,18.0,01.01.2009 04:30:00,temperatura,-9.5
19,19.0,19.0,19.0,01.01.2009 04:30:00,densidad,1316.16
20,20.0,20.0,20.0,01.01.2009 04:40:00,temperatura,-9.35
21,21.0,21.0,21.0,01.01.2009 04:40:00,densidad,1315.47
22,22.0,22.0,22.0,01.01.2009 04:50:00,temperatura,-9.47
23,23.0,23.0,23.0,01.01.2009 04:50:00,densidad,1316.25
24,24.0,24.0,24.0,01.01.2009 05:00:00,temperatura,-9.63
25,25.0,25.0,25.0,01.01.2009 05:00:00,densidad,1317.19
26,26.0,26.0,26.0,01.01.2009 05:10:00,temperatura,-9.67
27,27.0,27.0,27.0,01.01.2009 05:10:00,densidad,1317.35
28,28.0,28.0,28.0,01.01.2009 05:20:00,temperatura,-9.68
29,29.0,29.0,29.0,01.01.2009 05:20:00,densidad,1317.4
30,30.0,30.0,30.0,01.01.2009 05:30:00,temperatura,-9.9
31,31.0,31.0,31.0,01.01.2009 05:30:00,densidad,1318.68
32,32.0,32.0,32.0,01.01.2009 05:40:00,temperatura,-9.91
